a.	[ə.]	n. 天主教徒
contrast	[ˈkɑntræst]	v. 对比；形成对照 ｜n. 对比；差别；对照物
contribute	[kənˈtrɪbjut]	v. 贡献，出力；投稿；捐献
contribution	[ˌkɑntrəˈbjuʃən]	n. 贡献；捐献；投稿
contrive	[kənˈtraɪv]	v. 设计；发明；图谋
controversial	[ˌkɑntrəˈvərʃəl]	adj. 引起争论的,有争议的
controversy	[ˈkɑntrəˌvərsi]	n. 争论，辩论，争吵
convenience	[kənˈvinjəns]	n. 便利,方便
convenient	[kənˈvinjənt]	adj. (to)便利的,方便的
conventional	[kənˈvɛnʃənəl]	adj. 惯例的,常规的
converge	[kənˈvərʤ]	vi. 会合； 互相靠拢；聚集， 集中；趋近
conversely	[ˈkɑnvərsli]	adv. 相反地
conversion	[kənˈvɜːʃn]	n. 转变，转换；信仰的改变
convert	[ˈkɑnvərt]	v. 变换,转换；改变（信仰等） ｜n. 皈依者；改变宗教信仰者
convey	[kənˈveɪ]	vt. 运送， 搬运， 转运；表达； 传播
convict	[ˈkɑnvɪkt]	v. (经审讯)证明…有罪,宣判…有罪 ｜n. 囚犯
conviction	[kənˈvɪkʃən]	n. 深信,确信；定罪，判罪
convince	[kənˈvɪns]	v. 说服；使确信，使信服
cooling	[ˈkuːlɪŋ]	n. 冷却
cooperate	[kˈwɑpərˌeɪt]	v. 合作，配合；协力
cooperation	[kəʊˌɒpəˈreɪʃn]	n. 合作
cooperative	[koʊˈɑpərˌeɪtɪv]	adj. 合作的；合作社的 ｜n. 合作社
coordinate	[koʊˈɔrdəˌneɪt]	v. 协作，协调 ｜n. 坐标；同等的人或物 ｜adj. 并列的；同等的
cop	[kɑp]	v. 抓住 ｜n. 巡警，警官
cope	[koʊp]	v. 处理；对付；竞争 ｜n. 长袍
copper	[ˈkɑpər]	n. 铜；铜币；警察 ｜adj. 铜制的 ｜v. 镀铜
copyright	[ˈkɑpiˌraɪt]	n. 版权，著作权 ｜adj. 版权的；受版权保护的 ｜v. 保护版权；为…取得版权
cord	[kɔrd]	n. 绳索；束缚 ｜v. 用绳子捆绑
cordial	[ˈkɔrʤəl]	adj. 热忱的，诚恳的；兴奋的 ｜n. 补品；兴奋剂；甜香酒，甘露酒
corn	[kɔrn]	n. （美）玉米；（英）谷物；[皮肤] 鸡眼 ｜v. 腌；使成颗粒
correlate	[ˈkɔrəˌleɪt]	v. 关联 ｜n. 相关物；相关联的人 ｜adj. 关联的
correspond	[ˌkɔrəˈspɑnd]	vi. 通信；符合， 一致；相当于， 对应
correspondence	[ˌkɔrəˈspɑndəns]	n. 通信；一致；相当
correspondent	[ˌkɔrəˈspɑndənt]	n. 通讯记者；客户；通信者；代理商行
corresponding	[ˌkɔrəˈspɑndɪŋ]	adj. 相当的，相应的；一致的；通信的 ｜v. 类似（correspond的ing形式）；相配
corridor	[ˈkɔrɪdər]	n. 走廊
corrode	[kəroʊd]	v. 侵蚀；损害
corrupt	[kərəpt]	adj. 腐败的，贪污的；堕落的 ｜v. 使腐烂；使堕落，使恶化
cosmic	[ˈkɑzmɪk]	adj. 宇宙的（等于cosmical）
costing	[ˈkɒstɪŋ]	n. 成本
costly	[ˈkɔstli]	adj. 昂贵的；代价高的 ｜n. (Costly)人名；(英)科斯特利
costume	[ˈkɑstum]	n. 服装，装束；戏装，剧装 ｜v. 给…穿上服装
cosy	[ˈkoʊzi]	adj. 舒适的；惬意的 ｜n. 保温罩
cottage	[ˈkɑtɪʤ]	n. 小屋；村舍；（农舍式的）小别墅
cotton	[ˈkɔtən]	n. 棉花；棉布；棉线 ｜v. 一致；理解；和谐；亲近 ｜adj. 棉的；棉制的
couch	[kaʊʧ]	n. 睡椅，长沙发；床；卧榻 ｜v. 蹲伏，埋伏；躺着
cough	[kɔf]	n. 咳嗽，咳嗽声；咳嗽病 ｜v. 咳出
counsel	[ˈkaʊnsəl]	n. 法律顾问；忠告；商议；讨论；决策 ｜v. 建议；劝告
counterpart	[ˈkaʊntərˌpɑrt]	n. 对应的人(或物)
countryside	[ˈkəntriˌsaɪd]	n. 乡下,农村
coupon	[ˈkuˌpɔn]	n. 息票；赠券；联票；[经] 配给券
courage	[kərɪʤ]	n. 勇气；胆量
courtesy	[ˈkərtəsi]	n. 谦恭有礼；有礼貌的举止
courtyard	[ˈkɔrˌtjɑrd]	n. 庭院，院子；天井
cousin	[ˈkəzən]	n. 堂兄弟姊妹；表兄弟姊妹
cow	[kaʊ]	n. 奶牛，母牛；母兽 ｜v. 威胁，恐吓
coward	[kaʊərd]	n. 懦夫，懦弱的人 ｜adj. 胆小的，懦怯的
cozy	[ˈkoʊzi]	adj. 温暖而舒适的
crab	[kræb]	n. 螃蟹；蟹肉；脾气乖戾的人；起重机 ｜v. 抱怨；破坏；使偏航
crack	[kræk]	v. 使破裂；打开；变声 ｜n. 裂缝；声变；噼啪声 ｜adj. 最好的；高明的
cradle	[ˈkreɪdəl]	n. 摇篮；发源地；发祥地；支船架 ｜v. 抚育；把搁在支架上；把放在摇篮内
craft	[kræft]	n. 工艺；手艺；太空船 ｜v. 精巧地制作
crane	[kreɪn]	n. 吊车，起重机；鹤 ｜v. 伸着脖子看；迟疑，踌躇
crawl	[krɔl]	v. 爬行；匍匐行进 ｜n. 爬行；养鱼池；匍匐而行
creature	[ˈkriʧər]	n. 动物;生物
credential	[krɪˈdɛnʃəl]	n. 证书；凭据；国书
credentials	[krəˈdɛnʃəlz]	n. 证明书； 证件；资格
creep	[krip]	v. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩 ｜n. 爬行；毛骨悚然的感觉；谄媚者
cricket	[ˈkrɪkɪt]	n. 板球，板球运动；蟋蟀
cripple	[ˈkrɪpəl]	n. 跛子,残疾人 ｜v. 使跛,使残疾 ｜adj. 跛的；残废的
crisp	[krɪsp]	adj. 脆的,易碎的；（空气）清爽的 ｜v. 使卷曲；使发脆 ｜n. 松脆物；油炸马铃薯片
criterion	[kraɪˈtɪriən]	n. (pl.criteria或s)标准，尺度
critic	[ˈkrɪtɪk]	n. 批评家,评论家
criticism	[ˈkrɪtɪsɪzəm]	n. 批评，指责，非难；评论性的文章，评论
criticize	[ˈkrɪtɪsaɪz]	v. 批评；指责；评论
crop	[krɑp]	n. 产量；农作物；庄稼；平头 ｜v. 种植；收割；修剪；剪短
crow	[kroʊ]	v. 啼叫；报晓 ｜n. [鸟] 乌鸦；鸡鸣；撬棍
crucial	[ˈkruːʃl]	adj. 重要的；决定性的；定局的；决断的
crude	[krud]	adj. 粗糙的；天然的，未加工的；粗鲁的 ｜n. 原油；天然的物质
cruel	[kruəl]	adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
cruise	[kruz]	v. 巡航，巡游；漫游 ｜n. 巡航，巡游；乘船游览
crush	[krəʃ]	v. 压碎；弄皱，变形；使…挤入 ｜n. 粉碎；迷恋；压榨；拥挤的人群
crust	[krəst]	n. 地壳；外壳；面包皮；坚硬外皮 ｜v. 结硬皮；结成外壳
crystal	[ˈkrɪstəl]	n. 水晶,水晶饰品；结晶 ｜adj. 水晶的,透明的
cube	[kjub]	n. 立方；立方体；骰子 ｜v. 使成立方形；使自乘二次；量…的体积
cucumber	[ˈkjukəmbər]	n. 黄瓜；胡瓜
cue	[kju]	n. 提示，暗示；线索 ｜v. 给…暗示
culprit	[ˈkəlprɪt]	n. 罪犯
cultivate	[ˈkʌltɪveɪt]	vt. 耕作， 栽培； 养殖；培养， 教养； 磨炼
cunning	[ˈkənɪŋ]	adj. 狡猾的， 狡诈的；精巧的， 巧妙的 ｜n. 狡猾， 狡诈
cupboard	[ˈkəbərd]	n. 碗柜,小橱
curb	[kərb]	n. 路边；控制，约束 ｜v. 制止，抑制
cure	[kjʊr]	v. (of)治愈,医治 ｜n. 治愈，治疗
curiosity	[ˌkjʊriˈɑsəti]	n. 好奇心；古董,古玩
curious	[ˈkjʊriəs]	adj. 好奇的, 求知的；古怪的
curl	[kərl]	v. (使)卷曲,蜷缩 ｜n. 卷发;卷曲状；卷曲物
currency	[ˈkərənsi]	n. 通货，货币；流传，通行
curriculum	[kərˈɪkjələm]	n. 课程,(学校等的)全部课程
curse	[kərs]	n. 诅咒；咒骂 ｜v. 诅咒；咒骂
curtain	[ˈkərtən]	n. 窗帘,门帘；幕(布) ｜v. 用帘子隔开
curve	[kərv]	n. 曲线,弯曲(物) ｜v. 弄弯,成曲形 ｜adj. 弯曲的；曲线形的
cushion	[ˈkʊʃən]	n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄 ｜v. 给…安上垫子；把…安置在垫子上；缓和…的冲击
custom	[ˈkʌstəm]	n. 习惯,风俗,惯例；(pl.)海关 ｜adj. （衣服等）定做的，定制的
customary	[ˈkəstəˌmɛri]	adj. 惯例的；习惯的 ｜n. 习惯法汇编
cyberspace	[ˈsaɪbərˌspeɪs]	n. 网络空间；赛博空间
cylinder	[ˈsɪlɪndər]	n. 圆筒；汽缸；[数] 柱面；圆柱状物
dairy	[ˈdɛri]	n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业 ｜adj. 乳品的；牛奶的；牛奶制的；产乳的
dam	[dæm]	v. 控制；筑坝 ｜n. [水利] 水坝；障碍
damp	[dæmp]	v. 使潮湿；使阻尼；使沮丧，抑制 ｜n. 潮湿，湿气 ｜adj. 潮湿的
dare	[dɛr]	n. 挑战；挑动 ｜v. 敢冒；不惧
dash	[dæʃ]	n. 破折号；冲撞 ｜v. 使…破灭；猛撞；泼溅
database	[ˈdætəˌbeɪs]	n. 数据库
datacenter	[ˈdeɪtəsentə]	n. 数据中心
daunt	[dɔnt]	vt. 使气馁， 使畏缩
dawn	[dɔːn]	n. 黎明；开端 ｜v. 破晓；出现；被领悟
daylight	[ˈdeɪˌlaɪt]	n. 日光；白昼,黎明
daytime	[ˈdeɪˌtaɪm]	n. 白天,日间
dazzle	[ˈdæzəl]	n. 耀眼的光；灿烂 ｜v. 使……目眩；使……眼花
deadline	[ˈdɛˌdlaɪn]	n. 截止期限，最后期限
deadly	[ˈdɛdli]	adj. 致命的；非常的；死一般的 ｜adv. 非常；如死一般地
deaf	[dɛf]	adj. 聋的
dealer	[ˈdilər]	n. 经销商；商人
dean	[din]	n. 院长；系主任；教务长；主持牧师
decay	[dɪˈkeɪ]	v. 衰退，[核] 衰减；腐烂，腐朽 ｜n. 衰退，[核] 衰减；腐烂，腐朽
deceit	[dɪˈsit]	n. 欺骗,欺骗行为
deceive	[dɪˈsiv]	v. 欺骗,蒙蔽
decent	[ˈdisənt]	adj. 正派的；得体的；相当好的
decimal	[ˈdɛsəməl]	adj. 小数的；十进位的 ｜n. 小数
decisive	[dɪˈsaɪsɪv]	adj. 决定性的
deck	[dɛk]	n. 甲板；行李仓；露天平台 ｜v. 装饰；装甲板；打扮
declaration	[ˌdɛklərˈeɪʃən]	n. （纳税品等的）申报；宣布；公告；申诉书
declare	[dɪˈklɛr]	v. 宣布，声明；断言，宣称
decline	[dɪˈklaɪn]	n. 下降；衰退；斜面 ｜v. 下降；衰落；谢绝
decorate	[ˈdɛkərˌeɪt]	v. 装饰；布置；授勋给
decrease	[ˈdiˌkris]	n. 减少,减小;减少量 ｜v. 减少,变少,降低
dedicate	[ˈdɛdəˌkeɪt]	v. 奉献;献身于
deduce	[dɪˈdus]	v. (from)演绎,推断,推论
deduct	[dɪˈdəkt]	v. 扣除
deem	[dim]	v. 认为，视作；相信 ｜n. (Deem)人名；(英)迪姆
deepspace	[ˈdiːspeɪs]	n. 深空
deer	[dɪr]	n. 鹿
default	[dɪˈfɔlt]	vi. 不履行义务；拖欠 ｜n. 违约， 拖欠；弃权
defect	[ˈdifɛkt]	n. 过失;缺点;不足 ｜v. 变节；叛变
defend	[dɪˈfɛnd]	v. 辩护；防护
defendant	[dɪˈfɛndənt]	n. 被告
defer	[dɪˈfər]	v. 推迟， 延期
deficiency	[dɪˈfɪʃənsi]	n. 缺乏,不足；缺点,缺陷
deficit	[ˈdɛfəsət]	n. 赤字,逆差;亏损,亏空;不足,缺乏
define	[dɪˈfaɪn]	v. 确定，说明，界定；给…下定义，解释 ｜n. (Define)人名；(英)德法恩；(葡)德菲内
definite	[ˈdɛfənət]	adj. 明确的;一定的
defy	[dɪˈfaɪ]	v. 藐视；公然反抗；挑衅；使落空 ｜n. 挑战；对抗
degenerate	[dɪˈʤɛnərˌeɪt]	v. 衰退,堕落,蜕化 ｜adj. 堕落的 ｜n. 堕落者
delay	[dɪˈleɪ]	v. 延期；耽搁 ｜n. 延期；耽搁；被耽搁或推迟的时间
delegate	[ˈdɛləˌgeɪt]	v. 委派…为代表 ｜n. 代表
delete	[dɪˈlit]	v. 删除
deliberate	[dɪˈlɪbərˌeɪt]	adj. 故意的；深思熟虑的；从容的 ｜v. 仔细考虑；商议
delicate	[ˈdɛləkət]	adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
delicious	[dɪˈlɪʃəs]	adj. 美味的；可口的
delight	[dɪˈlaɪt]	n. 快乐,高兴 ｜v. (使)高兴,(使)欣喜
demo	[ˈdeməʊ]	n. 演示
demonstrate	[ˈdɛmənˌstreɪt]	v. 论证,证实；演示,说明
denial	[dɪˈnaɪəl]	n. 否认；拒绝；节制；背弃
denote	[dɪˈnoʊt]	v. 表示，指示
denounce	[dɪˈnaʊns]	v. 公开指责,公然抨击;谴责
dense	[dɛns]	adj. 稠密的；浓厚的；愚钝的
density	[ˈdensəti]	n. 密度
dental	[ˈdɛntəl]	adj. 牙科的；牙齿的，牙的 ｜n. 齿音
dentist	[ˈdɛntɪst]	n. 牙科医生
deny	[dɪˈnaɪ]	v. 否定，否认；拒绝给予；拒绝…的要求
deorbit	[diːˈɔːbɪt]	v. 离轨
depart	[dɪˈpɑrt]	v. 离开,起程 ｜adj. 过去的,逝世的
departure	[dɪˈpɑrʧər]	n. 离开,起程
depend	[dɪˈpɛnd]	v. 依赖，依靠；取决于；相信，信赖
dependence	[dɪˈpɛndəns]	n. 依靠， 依赖； 信任
dependent	[dɪˈpɛndənt]	adj. 依靠的；从属的；取决于…的 ｜n. 依赖他人者；受赡养者
depict	[dɪˈpɪkt]	v. 描述；描画
deplore	[dɪˈplɔr]	vt. 悲悼， 哀叹；谴责
deploy	[dɪˈplɔɪ]	v. 部署
deployment	[dɪˈplɔɪmənt]	n. 部署
deposit	[dɪˈpɑzət]	v. 存放；使沉淀 ｜n. 存款；沉积物
depress	[dɪˈprɛs]	v. 压抑；使沮丧；使萧条
depressed	[dɪˈprɛst]	adj. 沮丧的； 降低的
deprive	[dɪˈpraɪv]	v. 使丧失，剥夺
derive	[dəraɪv]	v. 源于；得自；获得 ｜n. (Derive)人名；(法)德里夫
descend	[dɪˈsɛnd]	v. 下降；下去；下来；遗传；屈尊
descendant	[dɪˈsɛndənt]	adj. 下降的；祖传的 ｜n. 后裔；子孙
descent	[dɪˈsɛnt]	n. 下降；血统；袭击 ｜vt. 除去…的气味；使…失去香味
desert	[ˈdɛzərt]	v. 遗弃；放弃；逃跑 ｜n. 沙漠；荒原；应得的赏罚 ｜adj. 沙漠的；荒凉的；不毛的
designate	[ˈdɛzɪgˌneɪt]	v. 任命,指派；标明,表示 ｜adj. 指定的；选定的
desirable	[dɪˈzaɪərəbəl]	adj. 令人满意的；值得要的 ｜n. 合意的人或事物
desolate	[ˈdɛzələt]	adj. 荒凉的;孤独的 ｜v. 使荒芜
despair	[dɪˈspɛr]	n. 绝望；令人绝望的人或事 ｜v. 绝望，丧失信心
desperate	[ˈdɛspərɪt]	adj. 不顾一切的，绝望的；危急的
despise	[dɪˈspaɪz]	v. 轻视，鄙视
dessert	[dɪˈzərt]	n. 餐后甜点；甜点心
destination	[ˌdɛstɪˈneɪʃən]	n. 目的地，终点
destiny	[ˈdɛstəni]	n. 命运，定数，天命
destruction	[dɪˈstrʌkʃn]	n. 破坏，毁灭；摧毁
destructive	[dɪˈstrəktɪv]	adj. 破坏的；毁灭性的；有害的，消极的
detach	[ˈdɪˌtæʧ]	v. 分开, 分离, 分遣, 派遣(军队)
detain	[dɪˈteɪn]	v. 耽搁；扣押,拘留
detect	[dɪˈtekt]	v. 察觉,发觉,侦察,探测
detective	[dɪˈtɛktɪv]	n. 侦探 ｜adj. 侦探的
detector	[dɪˈtɛktər]	n. 侦察器,探测器,检波器,检电器
deteriorate	[dɪˈtɪriərˌeɪt]	v. 恶化，变坏
deviate	[ˈdiviˌeɪt]	v. 脱离；越轨
devil	[ˈdɛvəl]	n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼 ｜v. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮
devise	[dɪˈvaɪz]	v. 设计;发明;图谋;作出(计划);想出(办法) ｜n. 遗赠
dew	[du]	n. 珠，滴；露水；清新 ｜vt. （露水等）弄湿 ｜vi. 结露水
diabetes	[ˌdaɪəˈbitiz]	n. 糖尿病； 多尿症
diagnose	[ˌdaɪəgˈnoʊs]	v. 诊断(疾病)；判断(问题)
diagram	[ˈdaɪəˌgræm]	n. 图表；图解 ｜v. 用图解法表示
dial	[daɪəl]	n. 转盘；刻度盘；钟面 ｜v. 拨号
dialect	[ˈdaɪəˌlɛkt]	n. 方言 ｜adj. 方言的
dialog	[ˈdaɪəlɔg]	n. (dialogue)对话,对白
diameter	[daɪˈæmətər]	n. 直径
diary	[ˈdaɪəri]	n. 日志，日记；日记簿
dictate	[ˈdɪkˌteɪt]	v. 命令；口述；使听写 ｜n. 命令；指示
dictation	[dɪkˈteɪʃən]	n. 口述；听写
dictionary	[ˈdɪkʃəˌnɛri]	n. 词典,字典
differ	[ˈdɪfər]	v. 使…相异；使…不同 ｜n. (Differ)人名；(法)迪费
differential	[ˌdɪfəˈrenʃl]	n. 温差
differentiate	[ˌdɪfərˈɛnʧiˌeɪt]	v. 区分，区别
differentiation	[ˌdɪfərenʃiˈeɪʃn]	n. 差异化
difficulty	[ˈdɪfɪˌkəlti]	n. 困难；困境；难题
diffuse	[dɪfˈjuz]	v. 扩散；传播 ｜adj. (文章等)冗长的,漫无边际的
dig	[dɪg]	v. 挖，掘；探究 ｜n. 戳，刺；挖苦
digest	[ˈdaɪʤɛst]	v. 消化；吸收；融会贯通 ｜n. 文摘；摘要
dignity	[ˈdɪgnəti]	n. (举止,态度等的)庄严,端庄；尊贵，尊严
dilemma	[dɪˈlɛmə]	n. 困境；进退两难
diligent	[ˈdɪlɪʤənt]	adj. 勤奋的,用功的 ｜n. (Diligent)人名；(法)迪利让
dilute	[dɪˈlut]	adj. 稀释的；淡的 ｜v. 稀释；冲淡；削弱
dim	[dɪm]	adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的 ｜v. 使暗淡，使失去光泽；使变模糊 ｜n. 笨蛋，傻子
dimension	[dɪˈmɛnʃən]	n. 方面;[数] 维；尺寸；次元；容积 vt标出尺寸 ｜adj. 规格的
diminish	[dɪˈmɪnɪʃ]	v. 使减少；使变小
dine	[daɪn]	v. 进餐，用餐 ｜n. (Dine)人名；(意、葡)迪内；(英)戴恩；(法)迪纳
dinosaur	[ˈdaɪnəˌsɔr]	n. 恐龙；过时的人或事物
dioxide	[daɪˈɑkˌsaɪd]	n. 二氧化物
dip	[dɪp]	v. 浸，泡，蘸；舀取；把伸入 ｜n. 下沉，下降；倾斜；浸渍，蘸湿
diploma	[dɪˈploʊmɑ]	n. 毕业证书，学位证书；公文，文书；奖状 ｜vt. 发给…毕业文凭
diplomatic	[ˌdɪpləˈmætɪk]	adj. 外交的；外交上的；老练的
directory	[dɪˈrɛktəri]	n. 人名地址录,(电话)号码簿 ｜adj. 指导的；咨询的
dirt	[dərt]	n. 污垢，泥土；灰尘，尘土；下流话
disable	[dɪˈseɪbəl]	v. 使失去能力；使残废；使无资格
disappear	[ˌdɪsəˈpɪr]	v. 消失；失踪；不复存在
disaster	[dɪˈzæstər]	n. 灾难，灾祸；不幸
disastrous	[dɪˈzæstrəs]	adj. 灾难性的；损失惨重的；悲伤的
disc	[dɪsk]	n. 圆盘，[电子] 唱片（等于disk） ｜vt. 灌唱片
discard	[dɪˈskɑrd]	v. 抛弃；放弃；丢弃 ｜n. 抛弃；被丢弃的东西或人
discern	[dɪˈsərn]	v. 识别；领悟，认识
discharge	[ˈdɪsˌʧɑrʤ]	v. 解雇；卸下；放出；免除 ｜n. 排放；卸货；解雇
discipline	[ˈdɪsəplən]	n. 纪律；学科 ｜v. 训练，训导；惩戒
disclose	[dɪˈskloʊz]	v. 揭示,泄露
discount	[ˈdɪskaʊnt]	n. 折扣 ｜v. 不重视；打折扣
discourage	[dɪˈskərɪʤ]	v. 阻止；使气馁
discourse	[ˈdɪskɔrs]	n. 演说；谈话；话语 ｜v. 讲述,著述
discover	[dɪˈskəvər]	v. 发现
discovery	[dɪˈskʌvəri]	n. 被发现的事物；发现
discreet	[dɪˈskrit]	adj. (言行)谨慎的；慎重的
discrepancy	[dɪˈskrɛpənsi]	n. 差异,不符
discriminate	[dɪˈskrɪməˌneɪt]	v. 有差别地对待,歧视；区别,辨别
disgrace	[dɪsˈgreɪs]	n. 丢脸，耻辱 ｜v. 使失宠;玷辱,使蒙羞
disguise	[dɪsˈgaɪz]	v. 掩饰；假装；隐瞒 ｜n. 伪装；假装；用作伪装的东西
disgust	[dɪsˈgəst]	n. 厌恶，嫌恶 ｜v. 使厌恶；使作呕
dish	[dɪʃ]	n. 盘；餐具；一盘食物；外貌有吸引力的人 ｜v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
disk	[dɪsk]	n. 唱片； 圆盘， 盘状物
dislike	[dɪsˈlaɪk]	v. 不喜欢，厌恶 ｜n. 嫌恶，反感，不喜爱
dismay	[dɪsˈmeɪ]	n. 沮丧，灰心；惊慌 ｜v. 使沮丧；使惊慌
dismiss	[dɪsˈmɪs]	v. 解散；解雇；开除；让离开；不予理会、不予考虑
disorder	[dɪˈsɔrdər]	n. 失调,疾病；混乱,杂乱；骚乱
dispatch	[dɪˈspæʧ]	vt. 派遣， 调遣； 发送 ｜n. 急件， 快信；新闻报道
disperse	[dɪˈspərs]	v. 分散；驱散；（使）〔某物〕消散 ｜adj. 分散的
displace	[dɪˈspleɪs]	v. 取代；置换；转移；把…免职；排水
displacement	[dɪˈspleɪsmənt]	n. 移置， 转移； 取代
disposal	[dɪˈspoʊzəl]	n. 丢弃，处理
dispose	[dɪˈspoʊz]	v. (for)布置,安排；(of)处理,处置 ｜n. 处置；性情
disposition	[ˌdɪspəˈzɪʃən]	n. 性格；排列,部署；倾向,意向
dispute	[dɪˈspjut]	v. 辩论；怀疑；阻止；抗拒 ｜n. 辩论；争吵
disregard	[ˌdɪsrɪˈgɑrd]	v. 忽视；不理；漠视；不顾 ｜n. 忽视；不尊重
disrupt	[dɪsˈrəpt]	v. 破坏；使瓦解；使分裂；使中断；使陷于混乱 ｜adj. 分裂的，中断的；分散的
dissipate	[ˈdɪsəˌpeɪt]	v. 浪费；使…消散
dissolve	[dɪˈzɑlv]	v. (使)溶解,(使)融化；解散,取消 ｜n. 叠化画面；画面的溶暗
distant	[ˈdɪstənt]	adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
distill	[dɪˈstɪl]	v. 提取；蒸馏；使滴下
distinct	[dɪˈstɪŋkt]	adj. 明显的；独特的；清楚的；有区别的
distinction	[dɪˈstɪŋkʃn]	n. 区别；差别；特性；荣誉、勋章
distinguish	[dɪˈstɪŋgwɪʃ]	v. 区分；辨别；使杰出，使表现突出
distort	[dɪˈstɔrt]	v. 扭曲；使失真；曲解
distract	[dɪˈstrækt]	v. 分散;使分心
distress	[dɪˈstrɛs]	n. 危难，不幸；贫困；悲痛 ｜v. 使悲痛；使贫困
distribute	[dɪˈstrɪbjut]	v. 分配；散布；分开；把…分类
disturb	[dɪˈstərb]	vt. 扰乱， 妨碍；使不安； 使烦恼
disturbance	[dɪˈstərbəns]	n. 干扰；骚乱；忧虑
ditch	[dɪʧ]	v. 在…上掘沟；把…开入沟里；丢弃 ｜n. 沟渠；壕沟
dive	[daɪv]	v. 潜水；跳水；俯冲；急剧下降 ｜n. 潜水；跳水；俯冲；扑
diverse	[dɪˈvərs]	adj. 多种多样的,不同的
diversion	[dɪˈvərʒən]	n. 转向,转移
divert	[dɪˈvərt]	v. 使转向，使改道；转移(注意力)；使娱乐 ｜n. (Divert)人名；(法)迪韦尔
divide	[dɪˈvaɪd]	v. 分；隔开；(by)除 ｜n. [地理] 分水岭，分水线
dividend	[ˈdɪvɪˌdɛnd]	n. 红利，股息
divine	[dɪˈvaɪn]	adj. 神圣的；非凡的；天赐的；极好的 ｜v. 占卜；预言；用占卜勘探 ｜n. 牧师；神学家
divorce	[dɪˈvɔrs]	vt. 离婚； 分离 ｜n. 离婚； 分离
dizzy	[ˈdɪzi]	adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的 ｜v. 使头晕眼花；使混乱；使茫然 ｜n. (Dizzy)人名；(英)迪齐
dock	[dɑk]	n. 码头；船坞；被告席；尾巴的骨肉部分 ｜v. 使靠码头；剪短
doctorate	[ˈdɑktərət]	n. 博士学位;博士头衔
doctrine	[ˈdɔktərɪn]	n. 教条， 主义， 学说
documentary	[ˌdɑkjəˈmɛnəri]	adj. 文献的 ｜n. 记录片
domain	[dəʊˈmeɪn]	n. (活动,思想等)领域,范围；领地
dome	[doʊm]	n. 圆屋顶 ｜vi. 成圆顶状 ｜vt. 加圆屋顶于…上
dominant	[ˈdɑmənənt]	adj. 支配的,统治的,占优势的 ｜n. 显性
dominate	[ˈdɑməˌneɪt]	v. 支配,统治,控制
donate	[ˈdoʊˌneɪt]	v. 捐赠；捐献 ｜n. 捐赠；捐献
doom	[dum]	n. 厄运,劫数 ｜v. 注定,命定
doorway	[ˈdɔrˌweɪ]	n. 门口；途径
dorm	[dɔrm]	n. 同dormitory,宿舍
dormitory	[ˈdɔrməˌtɔri]	n. 宿舍
dose	[doʊs]	n. 剂量；一剂，一服 ｜v. 服药
dot	[dɑt]	n. 点， 圆点 ｜vt. 在…上打点
dove	[dəv]	n. 鸽子；鸽派人士 ｜v. 潜水（dive的过去式）
downtown	[ˈdaʊnˈtaʊn]	adv. 往闹市区；在市区 ｜adj. 市中心的 ｜n. 市中心区；三分线以外
downward	[ˈdaʊnwərd]	adj. 向下的，下降的 ｜adv. 向下
doze	[doʊz]	v. 打瞌睡；假寐 ｜n. 瞌睡
dozen	[ˈdəzən]	n. 十二个，一打 ｜adj. 一打的
drag	[dræg]	v. 拖累；拖拉；缓慢而吃力地行进 ｜n. 拖；拖累
dragon	[ˈdrægən]	n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
drain	[dreɪn]	v. 排水；流干 ｜n. 排水；下水道，排水管；消耗
dramatic	[drəˈmætɪk]	adj. 戏剧的；急剧的；引人注目的；激动人心的
drastic	[ˈdræstɪk]	adj. 激烈的；猛烈的 ｜n. 烈性泻药
drawback	[ˈdrɔˌbæk]	n. 缺点，不利条件；退税
drawer	[drɔr]	n. 抽屉；开票人；出票人；起草者；酒馆侍
dread	[drɛd]	n. 恐惧；可怕的人（或物） ｜v. 惧怕；担心 ｜adj. 可怕的
drift	[drɪft]	n. 漂流，漂移；趋势；漂流物 ｜v. 漂流，漂移；漂泊
drill	[drɪl]	n. 训练；钻孔机；钻子；播种机 ｜v. 钻孔；训练
drip	[drɪp]	v. 滴下；充满；漏下 ｜n. 水滴，滴水声；静脉滴注；使人厌烦的人
drought	[draʊt]	n. 干旱；缺乏
drown	[draʊn]	v. 淹没；把…淹死 ｜n. (Drown)人名；(英)德朗
drum	[drəm]	v. 击鼓；大力争取 ｜n. 鼓；鼓声
